Detected kernel version 4.14.105, which is below the recommended minimum of 5.5.0; this can cause the process to hang. It is recommended to upgrade the kernel to the minimum version or higher.
Epoch 190/10000000	Loss:  1.91585	Time elapsed: 16.612s
Epoch 191/10000000	Loss:  2.04301	Time elapsed: 16.996s
Epoch 192/10000000	Loss:  2.16237	Time elapsed: 17.200s
Epoch 193/10000000	Loss:  2.01006	Time elapsed: 16.804s
Epoch 194/10000000	Loss:  1.92007	Time elapsed: 17.284s
Epoch 195/10000000	Loss:  1.90455	Time elapsed: 17.597s
Epoch 196/10000000	Loss:  1.85540	Time elapsed: 17.408s
Epoch 197/10000000	Loss:  1.99009	Time elapsed: 16.792s
Epoch 198/10000000	Loss:  1.95904	Time elapsed: 17.312s
Epoch 199/10000000	Loss:  1.95358	Time elapsed: 17.451s
Epoch 200/10000000	Loss:  1.95254	Time elapsed: 16.962s
Removed shared tensor {'blocks.1.attn2.rotary_embed.freqs', 'blocks.0.attn1.rotary_embed.freqs', 'blocks.11.attn1.rotary_embed.freqs', 'blocks.8.attn2.rotary_embed.freqs', 'blocks.6.attn2.rotary_embed.freqs', 'blocks.8.attn1.rotary_embed.freqs', 'blocks.6.attn1.rotary_embed.freqs', 'blocks.13.attn2.rotary_embed.freqs', 'blocks.2.attn1.rotary_embed.freqs', 'blocks.3.attn2.rotary_embed.freqs', 'blocks.14.attn1.rotary_embed.freqs', 'blocks.10.attn1.rotary_embed.freqs', 'blocks.7.attn1.rotary_embed.freqs', 'blocks.13.attn1.rotary_embed.freqs', 'blocks.3.attn1.rotary_embed.freqs', 'blocks.11.attn2.rotary_embed.freqs', 'blocks.9.attn2.rotary_embed.freqs', 'blocks.0.attn2.rotary_embed.freqs', 'blocks.15.attn1.rotary_embed.freqs', 'blocks.7.attn2.rotary_embed.freqs', 'blocks.10.attn2.rotary_embed.freqs', 'blocks.12.attn1.rotary_embed.freqs', 'blocks.5.attn1.rotary_embed.freqs', 'blocks.4.attn2.rotary_embed.freqs', 'blocks.15.attn2.rotary_embed.freqs', 'blocks.9.attn1.rotary_embed.freqs', 'blocks.5.attn2.rotary_embed.freqs', 'blocks.12.attn2.rotary_embed.freqs', 'blocks.4.attn1.rotary_embed.freqs', 'blocks.2.attn2.rotary_embed.freqs', 'blocks.1.attn1.rotary_embed.freqs', 'blocks.14.attn2.rotary_embed.freqs'} while saving. This should be OK, but check by verifying that you don't receive any warning while reloading
Epoch 201/10000000	Loss:  1.91903	Time elapsed: 17.506s
Epoch 202/10000000	Loss:  1.95070	Time elapsed: 17.335s
Epoch 203/10000000	Loss:  1.99213	Time elapsed: 17.193s
Epoch 204/10000000	Loss:  1.82509	Time elapsed: 17.888s
Epoch 205/10000000	Loss:  1.90517	Time elapsed: 17.513s
Epoch 206/10000000	Loss:  1.96192	Time elapsed: 16.508s
Epoch 207/10000000	Loss:  1.85398	Time elapsed: 16.590s
Epoch 208/10000000	Loss:  1.86705	Time elapsed: 17.231s
Epoch 209/10000000	Loss:  1.88911	Time elapsed: 17.178s
Epoch 210/10000000	Loss:  1.96982	Time elapsed: 16.695s
Epoch 211/10000000	Loss:  1.87929	Time elapsed: 16.502s
Epoch 212/10000000	Loss:  1.75747	Time elapsed: 17.490s
Epoch 213/10000000	Loss:  1.94664	Time elapsed: 17.238s
Epoch 214/10000000	Loss:  2.00458	Time elapsed: 17.045s
Epoch 215/10000000	Loss:  1.94758	Time elapsed: 17.633s
Epoch 216/10000000	Loss:  1.79172	Time elapsed: 17.383s
Epoch 217/10000000	Loss:  1.93241	Time elapsed: 17.409s
Epoch 218/10000000	Loss:  1.99935	Time elapsed: 17.407s
Epoch 219/10000000	Loss:  1.89082	Time elapsed: 17.696s
Epoch 220/10000000	Loss:  1.86980	Time elapsed: 18.201s
Epoch 221/10000000	Loss:  1.92602	Time elapsed: 17.286s
Epoch 222/10000000	Loss:  1.94200	Time elapsed: 17.589s
Epoch 223/10000000	Loss:  1.80903	Time elapsed: 17.312s
Epoch 224/10000000	Loss:  1.96269	Time elapsed: 17.188s
Epoch 225/10000000	Loss:  1.80894	Time elapsed: 17.826s
Epoch 226/10000000	Loss:  1.92581	Time elapsed: 17.976s
Epoch 227/10000000	Loss:  1.81092	Time elapsed: 17.022s
Epoch 228/10000000	Loss:  1.82877	Time elapsed: 17.493s
Epoch 229/10000000	Loss:  1.84579	Time elapsed: 16.872s
Epoch 230/10000000	Loss:  1.80061	Time elapsed: 17.327s
Epoch 231/10000000	Loss:  1.91144	Time elapsed: 17.587s
Epoch 232/10000000	Loss:  1.86259	Time elapsed: 17.480s
Epoch 233/10000000	Loss:  1.74482	Time elapsed: 17.399s
Epoch 234/10000000	Loss:  1.83543	Time elapsed: 17.207s
Epoch 235/10000000	Loss:  1.87973	Time elapsed: 17.316s
Epoch 236/10000000	Loss:  1.79652	Time elapsed: 17.597s
Epoch 237/10000000	Loss:  1.93212	Time elapsed: 17.411s
Epoch 238/10000000	Loss:  1.80858	Time elapsed: 17.185s
Epoch 239/10000000	Loss:  1.83998	Time elapsed: 17.714s
Epoch 240/10000000	Loss:  1.93705	Time elapsed: 16.876s
Epoch 241/10000000	Loss:  1.86588	Time elapsed: 17.183s
Epoch 242/10000000	Loss:  1.81179	Time elapsed: 17.413s
Epoch 243/10000000	Loss:  1.84859	Time elapsed: 16.599s
Epoch 244/10000000	Loss:  1.87578	Time elapsed: 17.311s
Epoch 245/10000000	Loss:  1.83144	Time elapsed: 17.084s
Epoch 246/10000000	Loss:  1.76640	Time elapsed: 17.220s
Epoch 247/10000000	Loss:  1.78619	Time elapsed: 17.200s
Epoch 248/10000000	Loss:  1.84794	Time elapsed: 17.304s
Epoch 249/10000000	Loss:  1.77580	Time elapsed: 17.395s
Epoch 250/10000000	Loss:  1.84871	Time elapsed: 17.211s
Epoch 251/10000000	Loss:  1.79869	Time elapsed: 16.640s
Epoch 252/10000000	Loss:  1.86701	Time elapsed: 17.258s
Epoch 253/10000000	Loss:  1.73794	Time elapsed: 16.861s
Epoch 254/10000000	Loss:  1.87348	Time elapsed: 17.331s
Epoch 255/10000000	Loss:  1.94683	Time elapsed: 17.341s
Epoch 256/10000000	Loss:  1.75911	Time elapsed: 17.988s
Epoch 257/10000000	Loss:  1.77097	Time elapsed: 17.489s
Epoch 258/10000000	Loss:  1.85586	Time elapsed: 17.796s
Epoch 259/10000000	Loss:  1.80250	Time elapsed: 17.295s
Epoch 260/10000000	Loss:  1.84220	Time elapsed: 17.503s
Epoch 261/10000000	Loss:  1.82033	Time elapsed: 16.677s
Epoch 262/10000000	Loss:  1.82582	Time elapsed: 17.094s
Epoch 263/10000000	Loss:  1.71776	Time elapsed: 17.522s
Epoch 264/10000000	Loss:  1.78836	Time elapsed: 16.485s
Epoch 265/10000000	Loss:  1.81217	Time elapsed: 17.428s
Epoch 266/10000000	Loss:  1.90205	Time elapsed: 17.184s
Epoch 267/10000000	Loss:  1.81765	Time elapsed: 16.805s
Epoch 268/10000000	Loss:  1.82353	Time elapsed: 17.384s
Epoch 269/10000000	Loss:  1.70580	Time elapsed: 19.913s
Epoch 270/10000000	Loss:  1.79290	Time elapsed: 17.007s
Epoch 271/10000000	Loss:  1.74023	Time elapsed: 16.996s
Epoch 272/10000000	Loss:  1.78670	Time elapsed: 17.292s
Epoch 273/10000000	Loss:  1.74087	Time elapsed: 17.212s
Epoch 274/10000000	Loss:  1.67876	Time elapsed: 17.293s
Epoch 275/10000000	Loss:  1.81879	Time elapsed: 16.994s
Epoch 276/10000000	Loss:  1.76516	Time elapsed: 17.106s
Epoch 277/10000000	Loss:  1.79652	Time elapsed: 16.786s
Epoch 278/10000000	Loss:  1.84457	Time elapsed: 17.181s
Epoch 279/10000000	Loss:  1.75213	Time elapsed: 16.838s
Epoch 280/10000000	Loss:  1.75817	Time elapsed: 17.192s
Epoch 281/10000000	Loss:  1.76151	Time elapsed: 16.989s
Epoch 282/10000000	Loss:  1.76258	Time elapsed: 17.002s
Epoch 283/10000000	Loss:  1.77411	Time elapsed: 17.018s
Epoch 284/10000000	Loss:  1.81909	Time elapsed: 16.723s
Epoch 285/10000000	Loss:  1.78183	Time elapsed: 16.345s
Epoch 286/10000000	Loss:  1.87804	Time elapsed: 16.818s
Epoch 287/10000000	Loss:  1.74368	Time elapsed: 17.010s
Epoch 288/10000000	Loss:  1.74251	Time elapsed: 16.957s
Epoch 289/10000000	Loss:  1.67018	Time elapsed: 17.217s
Epoch 290/10000000	Loss:  1.65411	Time elapsed: 17.908s
Epoch 291/10000000	Loss:  1.74148	Time elapsed: 18.209s
Epoch 292/10000000	Loss:  1.83202	Time elapsed: 16.973s
Epoch 293/10000000	Loss:  1.64541	Time elapsed: 17.441s
Epoch 294/10000000	Loss:  1.70582	Time elapsed: 17.479s
Epoch 295/10000000	Loss:  1.70941	Time elapsed: 17.327s
Epoch 296/10000000	Loss:  1.69080	Time elapsed: 17.084s
Epoch 297/10000000	Loss:  1.66346	Time elapsed: 17.193s
Epoch 298/10000000	Loss:  1.68572	Time elapsed: 17.505s
Epoch 299/10000000	Loss:  1.69057	Time elapsed: 16.865s
Epoch 300/10000000	Loss:  1.70224	Time elapsed: 16.926s
Removed shared tensor {'blocks.1.attn2.rotary_embed.freqs', 'blocks.0.attn1.rotary_embed.freqs', 'blocks.11.attn1.rotary_embed.freqs', 'blocks.8.attn2.rotary_embed.freqs', 'blocks.6.attn2.rotary_embed.freqs', 'blocks.8.attn1.rotary_embed.freqs', 'blocks.6.attn1.rotary_embed.freqs', 'blocks.13.attn2.rotary_embed.freqs', 'blocks.2.attn1.rotary_embed.freqs', 'blocks.3.attn2.rotary_embed.freqs', 'blocks.14.attn1.rotary_embed.freqs', 'blocks.10.attn1.rotary_embed.freqs', 'blocks.7.attn1.rotary_embed.freqs', 'blocks.13.attn1.rotary_embed.freqs', 'blocks.3.attn1.rotary_embed.freqs', 'blocks.11.attn2.rotary_embed.freqs', 'blocks.9.attn2.rotary_embed.freqs', 'blocks.0.attn2.rotary_embed.freqs', 'blocks.15.attn1.rotary_embed.freqs', 'blocks.7.attn2.rotary_embed.freqs', 'blocks.10.attn2.rotary_embed.freqs', 'blocks.12.attn1.rotary_embed.freqs', 'blocks.5.attn1.rotary_embed.freqs', 'blocks.4.attn2.rotary_embed.freqs', 'blocks.15.attn2.rotary_embed.freqs', 'blocks.9.attn1.rotary_embed.freqs', 'blocks.5.attn2.rotary_embed.freqs', 'blocks.12.attn2.rotary_embed.freqs', 'blocks.4.attn1.rotary_embed.freqs', 'blocks.2.attn2.rotary_embed.freqs', 'blocks.1.attn1.rotary_embed.freqs', 'blocks.14.attn2.rotary_embed.freqs'} while saving. This should be OK, but check by verifying that you don't receive any warning while reloading
Epoch 301/10000000	Loss:  1.76448	Time elapsed: 16.920s
Epoch 302/10000000	Loss:  1.76554	Time elapsed: 17.493s
Epoch 303/10000000	Loss:  1.72558	Time elapsed: 16.904s
Epoch 304/10000000	Loss:  1.66334	Time elapsed: 16.505s
Epoch 305/10000000	Loss:  1.64086	Time elapsed: 17.405s
Epoch 306/10000000	Loss:  1.70801	Time elapsed: 16.793s
Epoch 307/10000000	Loss:  1.63440	Time elapsed: 16.504s
Epoch 308/10000000	Loss:  1.66459	Time elapsed: 17.481s
Epoch 309/10000000	Loss:  1.73732	Time elapsed: 17.119s
Epoch 310/10000000	Loss:  1.79839	Time elapsed: 16.889s
Epoch 311/10000000	Loss:  1.72614	Time elapsed: 17.993s
